date,0,1,2,3,4,5
2018-09-05,06,08,24,27,38,05
2018-09-01,12,14,27,29,37,03
2018-08-29,10,23,28,38,39,15
2018-08-25,03,13,14,17,38,20
2018-08-22,02,11,24,37,46,15
2018-08-18,04,05,24,30,38,26
2018-08-15,08,10,36,39,47,02
2018-08-11,11,23,24,28,46,18
2018-08-08,03,21,30,32,46,19
2018-08-04,14,19,33,38,46,16
2018-08-01,01,04,23,35,44,02
2018-07-28,04,08,11,31,33,12
2018-07-25,06,16,27,30,40,11
2018-07-21,03,04,30,32,44,11
2018-07-18,01,03,04,16,39,19
2018-07-14,05,12,24,26,37,04
2018-07-11,15,16,18,20,39,03
2018-07-07,01,10,34,36,39,25
2018-07-04,21,32,33,38,44,08
2018-06-30,01,22,23,26,36,04
2018-06-27,06,16,29,32,34,15
2018-06-23,02,06,09,13,23,22
2018-06-20,06,15,19,25,28,01
2018-06-16,11,13,24,30,42,04
2018-06-13,08,38,40,44,47,04
2018-06-09,05,11,27,33,47,18
2018-06-06,03,16,19,26,37,01
2018-06-02,03,11,15,37,44,10
2018-05-30,14,17,23,25,46,06
2018-05-26,04,25,30,42,47,23
2018-05-23,06,34,38,39,44,12
2018-05-19,12,22,25,30,37,24
2018-05-16,18,22,24,31,43,15
2018-05-12,01,09,17,20,25,07
2018-05-09,04,07,28,37,41,02
2018-05-05,01,15,36,38,43,26
2018-05-02,11,25,28,33,44,11
2018-04-28,02,09,17,22,37,22
2018-04-25,08,18,20,36,45,21
2018-04-21,12,14,19,30,34,11
2018-04-18,01,09,18,25,32,17
2018-04-14,05,14,27,31,39,19
2018-04-11,05,09,16,22,28,23
2018-04-07,13,16,24,38,39,04
2018-04-04,03,12,15,24,36,23
2018-03-31,12,27,29,30,47,19
2018-03-28,03,04,10,21,42,03
2018-03-24,01,09,15,22,43,03
2018-03-21,06,14,20,25,42,01
2018-03-17,10,11,16,25,35,06
2018-03-14,04,09,18,24,32,03
2018-03-10,17,19,30,31,42,25
2018-03-07,07,10,12,19,37,08
2018-03-03,06,24,42,43,45,09
2018-02-28,06,07,09,14,25,13
2018-02-24,06,15,22,29,38,24
2018-02-21,10,25,31,43,45,06
2018-02-17,19,27,34,36,39,17
2018-02-14,08,15,23,26,46,21
2018-02-10,27,32,33,41,42,07
2018-02-07,07,15,18,20,24,01
2018-02-03,10,29,41,45,46,10
2018-01-31,04,06,19,21,32,24
2018-01-27,05,08,19,40,45,01
2018-01-24,10,25,29,41,43,20
2018-01-20,16,22,25,41,44,03
2018-01-17,03,08,18,31,36,07
2018-01-13,03,24,28,33,40,27
2018-01-10,19,36,37,44,46,23
2018-01-06,04,15,21,24,39,06
2018-01-03,18,24,27,31,35,15
2017-12-30,25,27,30,32,37,03
2017-12-27,01,08,14,24,41,10
2017-12-23,01,04,07,34,40,01
2017-12-20,01,07,13,27,29,26
2017-12-16,04,17,21,37,44,17
2017-12-13,11,14,15,19,39,15
2017-12-09,08,19,34,41,45,21
2017-12-06,01,02,07,12,24,23
2017-12-02,07,18,33,40,42,07
2017-11-29,03,07,26,27,33,06
2017-11-25,13,17,21,25,46,19
2017-11-22,08,27,32,40,42,03
2017-11-18,19,34,42,43,46,20
2017-11-15,18,20,21,38,45,09
2017-11-11,04,16,21,39,47,08
2017-11-08,16,17,22,38,41,03
2017-11-04,05,08,29,32,41,25
2017-11-01,22,26,43,44,47,24
2017-10-28,08,12,24,30,37,06
2017-10-25,05,29,36,37,44,08
2017-10-21,04,18,27,36,47,15
2017-10-18,05,10,24,33,35,13
2017-10-14,03,06,20,40,41,16
2017-10-11,17,32,33,38,43,27
2017-10-07,16,18,24,41,47,23
2017-10-04,21,24,27,30,39,22
2017-09-30,10,21,30,42,46,03
2017-09-27,02,08,12,37,44,12
2017-09-23,04,06,08,13,46,06
2017-09-20,04,36,38,40,46,21
2017-09-16,04,05,07,26,33,19
2017-09-13,02,12,16,32,44,02
2017-09-09,14,15,22,36,46,21
2017-09-06,13,25,31,43,47,14
2017-09-02,01,03,15,30,41,12
2017-08-30,21,22,35,38,47,22
2017-08-26,01,04,13,27,45,16
2017-08-23,07,08,20,27,35,07
2017-08-19,08,14,21,27,47,25
2017-08-16,23,31,34,43,47,19
2017-08-12,10,27,28,34,41,07
2017-08-09,20,28,29,30,31,17
2017-08-05,06,09,19,27,38,15
2017-08-02,11,36,37,41,47,25
2017-07-29,08,14,16,38,39,16
2017-07-26,10,15,19,22,27,19
2017-07-22,17,24,35,36,38,09
2017-07-19,06,07,17,29,46,11
2017-07-15,08,24,26,32,44,11
2017-07-12,09,14,34,35,36,27
2017-07-08,03,04,19,27,45,22
2017-07-05,10,19,22,29,42,04
2017-07-01,10,29,31,35,45,23
2017-06-28,12,21,22,38,44,22
2017-06-24,01,12,25,35,38,12
2017-06-21,05,20,25,32,46,19
2017-06-17,05,24,25,40,47,07
2017-06-14,01,16,26,34,35,25
2017-06-10,03,04,05,16,20,02
2017-06-07,28,34,36,46,47,12
2017-06-03,09,25,30,33,41,01
2017-05-31,07,08,20,23,36,06
2017-05-27,07,08,15,34,45,03
2017-05-24,01,14,16,31,44,22
2017-05-20,06,10,31,45,47,08
2017-05-17,08,20,24,27,34,13
2017-05-13,13,16,18,27,32,20
2017-05-10,07,16,17,36,38,22
2017-05-06,16,24,31,40,44,07
2017-05-03,09,22,23,32,37,06
2017-04-29,04,14,31,42,43,02
2017-04-26,06,19,28,42,45,07
2017-04-22,06,13,16,39,44,13
2017-04-19,02,28,33,34,38,04
2017-04-15,03,10,16,18,19,02
2017-04-12,09,14,17,23,29,05
2017-04-08,06,12,22,27,36,19
2017-04-05,20,33,35,40,41,11
2017-04-01,08,10,35,39,47,23
2017-03-29,07,10,11,21,35,13
2017-03-25,10,13,17,18,20,11
2017-03-22,08,26,28,33,42,23
2017-03-18,29,33,38,44,46,05
2017-03-15,13,31,34,36,44,01
2017-03-11,16,17,19,38,47,25
2017-03-08,02,11,25,33,37,03
2017-03-04,17,34,35,41,46,19
2017-03-01,08,20,29,33,42,23
2017-02-25,03,11,24,30,46,15
2017-02-22,15,28,32,34,47,14
2017-02-18,09,18,24,27,41,21
2017-02-15,05,09,16,27,41,05
2017-02-11,11,24,27,34,40,19
2017-02-08,04,11,37,40,45,12
2017-02-04,05,15,18,22,41,20
2017-02-01,03,08,10,27,31,16
2017-01-28,11,15,22,33,35,20
2017-01-25,09,13,27,29,33,10
2017-01-21,07,14,20,22,46,22
2017-01-18,17,25,29,31,37,06
2017-01-14,01,09,10,19,26,21
2017-01-11,08,15,20,43,44,23
2017-01-07,06,32,33,34,44,18
2017-01-04,11,15,20,38,47,16
2016-12-31,01,03,10,46,47,06
2016-12-28,10,13,16,34,41,06
2016-12-24,02,18,31,35,39,02
2016-12-21,16,21,28,40,41,16
2016-12-17,10,24,32,34,40,10
2016-12-14,06,10,16,29,31,17
2016-12-10,06,13,15,36,45,25
2016-12-07,02,10,11,15,38,19
2016-12-03,03,13,20,44,47,16
2016-11-30,17,21,28,38,47,11
2016-11-26,01,16,21,22,39,24
2016-11-23,15,25,27,30,34,01
2016-11-19,03,11,15,16,32,22
2016-11-16,14,28,33,37,43,27
2016-11-12,21,35,37,40,44,24
2016-11-09,08,26,31,35,47,12
2016-11-05,01,20,29,31,37,01
2016-11-02,06,07,11,42,47,02
2016-10-29,02,04,26,30,37,11
2016-10-26,08,19,21,26,33,15
2016-10-22,03,07,12,25,42,27
2016-10-19,10,16,38,43,63,23
2016-10-15,23,49,57,64,67,20
2016-10-12,05,11,22,23,31,26
2016-10-08,02,17,33,36,43,19
2016-10-05,09,13,27,33,40,08
2016-10-01,01,03,20,30,39,03
2016-09-28,08,18,24,37,43,05
2016-09-24,08,12,15,30,35,27
2016-09-21,06,36,38,41,46,17
2016-09-17,16,20,22,34,41,06
2016-09-14,08,25,32,35,45,24
2016-09-10,10,29,30,37,44,05
2016-09-07,14,20,23,32,39,10
2016-09-03,01,03,04,09,42,23
2016-08-31,15,17,30,41,46,12
2016-08-27,20,25,37,44,45,27
2016-08-24,02,09,40,44,46,25
2016-08-20,10,18,27,39,41,04
2016-08-17,22,31,36,46,47,18
2016-08-13,06,18,39,44,47,02
2016-08-10,01,23,40,44,46,15
2016-08-06,01,29,34,36,46,15
2016-08-03,12,18,19,29,32,18
2016-07-30,02,03,27,28,30,17
2016-07-27,05,07,12,34,42,23
2016-07-23,07,23,30,36,44,02
2016-07-16,05,24,31,39,43,24
2016-07-13,08,13,14,24,27,01
2016-07-09,13,18,25,37,43,16
2016-07-06,17,21,29,45,46,24
2016-07-02,12,23,25,39,40,03
2016-06-29,10,25,28,37,39,21
2016-06-25,07,23,28,39,45,18
2016-06-22,06,12,26,28,33,24
2016-06-18,08,13,17,19,39,05
2016-06-15,15,21,38,43,46,05
2016-06-11,02,10,25,31,40,12
2016-06-08,02,14,19,22,32,10
2016-06-04,08,11,27,35,45,03
2016-06-01,02,22,25,34,36,12
2016-05-28,04,10,11,32,33,23
2016-05-25,04,06,09,16,47,10
2016-05-21,08,12,27,34,44,15
2016-05-18,04,19,37,40,42,13
2016-05-14,03,04,27,30,40,17
2016-05-11,08,24,31,32,43,17
2016-05-07,06,14,18,20,38,10
2016-05-04,01,08,13,15,39,19
2016-04-30,13,16,24,29,38,18
2016-04-27,07,26,31,34,43,08
2016-04-23,16,26,28,33,39,08
2016-04-20,02,14,25,27,35,20
2016-04-16,22,29,32,36,43,17
2016-04-13,14,22,25,31,46,09
2016-04-09,16,18,36,40,42,07
2016-04-06,12,14,22,32,45,18
2016-04-02,03,05,10,43,47,06
2016-03-30,22,24,28,33,39,24
2016-03-26,03,12,13,26,33,18
2016-03-23,05,23,38,43,47,27
2016-03-19,02,17,19,24,33,22
2016-03-16,15,19,22,37,46,10
2016-03-12,02,16,27,34,36,12
2016-03-09,02,17,24,31,41,15
2016-03-05,04,05,08,10,21,06
2016-03-02,09,10,18,19,42,24
2016-02-27,02,08,10,28,47,10
2016-02-24,06,11,16,42,43,10
2016-02-20,22,24,31,34,36,03
